,brand,ram_gb,storage_gb,expandable_storage,battery_type,battery_mah,rear_camera_mp,front_camera_mp,rear_camera_count,rating,reviews,price,display_inch,processor_family,warranty_months
329,Samsung,8 GB RAM,128 GB ROM,Expandable Upto 1 TB,lithium-ion battery,4500.0,36,32.0,3,4.4,141.0,39999,6.7,Exynos,12.0
330,Samsung,6 GB RAM,128 GB ROM,Expandable Upto 1 TB,lithium-ion battery,4500.0,36,32.0,3,4.4,45.0,37999,6.7,Exynos,12.0
331,Huawei,4 GB RAM,128 GB ROM,,standard battery,4000.0,26,16.0,3,4.3,90.0,16899,6.59,Kirin,12.0
332,POCO,8 GB RAM,256 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,17,20.0,2,4.5,3102.0,22999,6.18,Snapdragon,12.0
333,Realme,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,76,16.0,4,4.5,8654.0,17999,6.4,Other,
334,Nokia,6 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,3500.0,61,20.0,3,4.2,611.0,18099,6.3,Snapdragon,12.0
335,OPPO,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,53,16.0,2,4.4,11506.0,16990,6.5,Mediatek,
336,Samsung,6 GB RAM,128 GB ROM,,standard battery,3500.0,32,,1,4.2,52.0,16990,6.3,,12.0
337,Mi,8 GB RAM,256 GB ROM,,standard battery,4780.0,125,20.0,4,4.3,5.0,49990,6.67,Snapdragon,
338,Samsung,8 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium ion battery,4500.0,77,32.0,3,4.3,102.0,27999,6.7,Other,12.0
339,OnePlus,8 GB RAM,256 GB ROM,,standard battery,3700.0,53,16.0,2,4.6,204.0,37940,6.41,,12.0
340,OnePlus,8 GB RAM,256 GB ROM,,standard battery,3700.0,53,16.0,2,4.6,204.0,30999,6.41,,12.0
341,Mi,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4030.0,58,32.0,3,4.2,1136.0,14999,6.08,Snapdragon,12.0
342,OPPO,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,53,16.0,2,4.4,11506.0,16990,6.5,Mediatek,12.0
343,Samsung,8 GB RAM,128 GB ROM,Expandable Upto 1 TB,lithium-ion battery,4500.0,65,32.0,3,4.5,2616.0,42999,6.7,Snapdragon,12.0
344,Redmi,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,53,13.0,2,4.4,25217.0,16985,6.3,Snapdragon,
345,Samsung,8 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4500.0,86,32.0,4,4.4,206.0,34990,6.7,Other,12.0
346,Vivo,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,lithium polymer battery,4500.0,26,32.0,3,4.4,176.0,19990,6.38,Mediatek,12.0
347,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,24,13.0,4,4.5,21245.0,9999,6.5,Snapdragon,
348,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,24,13.0,4,4.5,21245.0,9999,6.5,Snapdragon,
349,Redmi,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,17,20.0,2,4.5,10831.0,17998,6.26,Snapdragon,12.0
350,OPPO,8 GB RAM,256 GB ROM,Expandable Upto 256 GB,standard battery,4025.0,87,44.0,4,4.4,216.0,29990,6.4,Mediatek,
351,Asus,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,13,8.0,1,4.0,362.0,7499,5.45,Snapdragon,12.0
352,Infinix,4 GB RAM,64 GB ROM,Expandable Upto 128 GB,li-ion polymer battery,4000.0,16,16.0,1,3.9,306.0,10999,5.93,Mediatek,12.0
353,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,3600.0,18,25.0,2,4.4,7643.0,14990,6.41,Snapdragon,
354,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,3600.0,18,25.0,2,4.4,7643.0,14990,6.41,Snapdragon,
355,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 400 GB,standard battery,3000.0,12,8.0,1,4.4,2331.0,24999,5.8,Exynos,12.0
356,Redmi,4 GB RAM,64 GB ROM,,standard battery,5020.0,48,,1,,,14999,6.5,,12.0
357,OPPO,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4025.0,87,44.0,4,4.4,216.0,27990,6.4,Mediatek,
358,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,24,13.0,4,4.4,29669.0,10999,6.5,Snapdragon,
359,OnePlus,8 GB RAM,256 GB ROM,,standard battery,4085.0,72,16.0,3,4.5,42.0,45470,6.67,Snapdragon,12.0
360,Coolpad,3 GB RAM,32 GB ROM,,standard battery,3000.0,13,,1,3.7,2.0,7999,5.71,,12.0
361,Redmi,8 GB RAM,128 GB ROM,Expandable Upto 512 GB,li-polymer battery,4500.0,76,20.0,4,4.4,704.0,18999,6.53,Mediatek,12.0
362,Coolpad,2 GB RAM,16 GB ROM,,standard battery,2500.0,5,,1,3.5,6.0,5490,5.45,,12.0
363,Samsung,1 GB RAM,16 GB ROM,Expandable Upto 256 GB,lithium-ion battery,2600.0,8,5.0,1,4.2,731.0,7290,5.0,Other,12.0
364,Vivo,3 GB RAM,32 GB ROM,,standard battery,4030.0,13,,1,4.3,206.0,9948,6.22,,12.0
365,Realme,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,li-ion battery,3500.0,18,16.0,2,4.5,4727.0,15490,6.3,Snapdragon,12.0
366,Panasonic,3 GB RAM,32 GB ROM,Expandable Upto 512 GB,standard battery,4010.0,15,13.0,2,4.1,714.0,6499,6.22,Mediatek,
367,Samsung,1 GB RAM,16 GB ROM,Expandable Upto 512 GB,standard battery,3000.0,8,5.0,1,4.5,1.0,6394,5.3,Mediatek,12.0
368,Redmi,6 GB RAM,128 GB ROM,,li-polymer battery,4000.0,69,20.0,3,4.5,5085.0,21999,6.39,Snapdragon,12.0
369,Samsung,8 GB RAM,512 GB ROM,Expandable Upto 1 TB,lithium-ion battery,4500.0,65,32.0,3,4.5,2616.0,47999,6.7,Snapdragon,12.0
370,Nokia,2 GB RAM,32 GB ROM,,standard battery,4000.0,15,5.0,2,4.1,82.0,9476,6.2,Mediatek,12.0
371,Samsung,8 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4000.0,70,32.0,4,4.4,44.0,25999,6.4,Exynos,12.0
372,Honor,6 GB RAM,128 GB ROM,,standard battery,3750.0,66,32.0,3,4.4,330.0,22999,6.26,Kirin,12.0
373,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,76,16.0,4,4.5,12138.0,16999,6.4,Other,
